selection_strategy,selection_rank,row_id,sample_name,label_numeric,primary_probability,record_category,target_region_group,paired_light_status,confidence_bin,developability_risk_bin,has_structure,cluster_id
highest_score,1,400,ADI-60702,1,0.9823450969375928,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,2,926,ADI-63156,1,0.9795699246062818,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,3,394,ADI-60715,1,0.9794463125325784,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,4,520,ADI-62061,1,0.9784410903032,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,5,202,ADI-56746,1,0.9772123182158242,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,6,418,ADI-60736,1,0.972665636629686,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,7,1144,ADI-63408,1,0.9713092209421786,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,8,552,ADI-62075,1,0.9706079050113744,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,9,671,ADI-62824,1,0.9675501001784927,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,10,884,ADI-63107,1,0.9652229052434712,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,11,564,ADI-62045,1,0.965117365229038,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,12,574,ADI-62092,1,0.9626584649103648,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,13,1118,ADI-63376,1,0.960570880073639,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,14,847,ADI-63064,1,0.9582840809063088,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,15,419,ADI-60734,1,0.9576049728220692,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,16,1028,ADI-63273,1,0.9575558016572208,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,17,301,ADI-57834,1,0.9558468227462684,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,18,422,ADI-60696,1,0.9544371694615724,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,19,377,ADI-60792,1,0.9534254393085376,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,20,798,ADI-63009,1,0.9510999422516336,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,21,1043,ADI-63292,1,0.9509313123349622,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,22,760,ADI-62965,1,0.9499832040688788,known_neutralising,RBD,light_missing_or_single_chain,high,medium,False,6
highest_score,23,448,ADI-61228,1,0.9498684612472288,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,24,653,ADI-62793,1,0.9496662933896124,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,25,1062,ADI-63312,1,0.9489643066013552,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,26,1007,ADI-63252,1,0.9476126646585328,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,27,969,ADI-63206,1,0.9453912826070208,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,5
highest_score,28,581,ADI-62033,1,0.93932860470566,known_neutralising,RBD,light_missing_or_single_chain,high,low,False,6
highest_score,29,5376,Ab_51A1,1,0.938311074285983,known_neutralising,RBD,paired,high,low,False,4
